buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,med,unacc
vhigh,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,2,big,low,unacc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,4,small,low,unacc
vhigh,vhigh,2,4,small,med,acc
vhigh,vhigh,2,4,small,high,acc
vhigh,vhigh,2,4,big,low,unacc
vhigh,vhigh,2,4,big,med,acc
vhigh,vhigh,2,4,big,high,acc
vhigh,vhigh,2,more,small,low,unacc
vhigh,vhigh,2,more,small,med,acc
vhigh,vhigh,2,more,small,high,acc
vhigh,vhigh,2,more,big,low,unacc
vhigh,vhigh,2,more,big,med,acc
vhigh,vhigh,2,more,big,high,acc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,med,unacc
vhigh,vhigh,4,2,small,high,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,2,big,med,unacc
vhigh,vhigh,4,2,big,high,unacc
vhigh,vhigh,4,4,small,low,unacc
vhigh,vhigh,4,4,small,med,acc
vhigh,vhigh,4,4,small,high,acc
vhigh,vhigh,4,4,big,low,unacc
vhigh,vhigh,4,4,big,med,acc
vhigh,vhigh,4,4,big,high,acc
vhigh,vhigh,4,more,small,low,unacc
vhigh,vhigh,4,more,small,med,acc
vhigh,vhigh,4,more,small,high,acc
vhigh,vhigh,4,more,big,low,unacc
vhigh,vhigh,4,more,big,med,acc
vhigh,vhigh,4,more,big,high,acc
vhigh,high,2,2,small,low,unacc
vhigh,high,2,2,small,med,unacc
vhigh,high,2,2,small,high,unacc
vhigh,high,2,2,big,low,unacc
vhigh,high,2,2,big,med,unacc
vhigh,high,2,2,big,high,unacc
vhigh,high,2,4,small,low,unacc
vhigh,high,2,4,small,med,acc
vhigh,high,2,4,small,high,acc
vhigh,high,2,4,big,low,unacc
vhigh,high,2,4,big,med,acc
vhigh,high,2,4,big,high,acc
vhigh,high,2,more,small,low,unacc
vhigh,high,2,more,small,med,acc
vhigh,high,2,more,small,high,acc
vhigh,high,2,more,big,low,unacc
vhigh,high,2,more,big,med,acc
vhigh,high,2,more,big,high,acc
vhigh,high,4,2,small,low,unacc
vhigh,high,4,2,small,med,unacc
vhigh,high,4,2,small,high,unacc
vhigh,high,4,2,big,low,unacc
vhigh,high,4,2,big,med,unacc
vhigh,high,4,2,big,high,unacc
vhigh,high,4,4,small,low,unacc
vhigh,high,4,4,small,med,acc
vhigh,high,4,4,small,high,acc
vhigh,high,4,4,big,low,unacc
vhigh,high,4,4,big,med,acc
vhigh,high,4,4,big,high,acc
vhigh,high,4,more,small,low,unacc
vhigh,high,4,more,small,med,acc
vhigh,high,4,more,small,high,acc
vhigh,high,4,more,big,low,unacc
vhigh,high,4,more,big,med,acc
vhigh,high,4,more,big,high,acc
vhigh,med,2,2,small,low,unacc
vhigh,med,2,2,small,med,unacc
vhigh,med,2,2,small,high,unacc
vhigh,med,2,2,big,low,unacc
vhigh,med,2,2,big,med,unacc
vhigh,med,2,2,big,high,unacc
vhigh,med,2,4,small,low,unacc
vhigh,med,2,4,small,med,acc
vhigh,med,2,4,small,high,acc
vhigh,med,2,4,big,low,unacc
vhigh,med,2,4,big,med,acc
vhigh,med,2,4,big,high,acc
vhigh,med,2,more,small,low,unacc
vhigh,med,2,more,small,med,acc
vhigh,med,2,more,small,high,acc
vhigh,med,2,more,big,low,unacc
vhigh,med,2,more,big,med,acc
vhigh,med,2,more,big,high,acc
vhigh,med,4,2,small,low,unacc
vhigh,med,4,2,small,med,unacc
vhigh,med,4,2,small,high,unacc
vhigh,med,4,2,big,low,unacc
